Leg0,Leg1,Spine,Beta_Acc,Beta
252.00,1548.00,245.01,-1.16,0.88
240.00,1560.00,245.64,0.79,0.90
240.00,1560.00,245.64,0.67,0.92
228.00,1572.00,246.24,0.00,0.92
228.00,1572.00,246.24,0.37,0.93
216.00,1584.00,246.82,3.35,1.03
216.00,1584.00,246.82,-0.85,1.00
204.00,1596.00,247.36,0.12,1.00
192.00,1608.00,247.87,0.30,1.01
192.00,1608.00,247.87,-0.18,1.01
180.00,1620.00,248.36,-0.24,1.00
180.00,1620.00,248.36,1.71,1.05
168.00,1632.00,248.81,1.89,1.10
168.00,1632.00,248.81,-0.06,1.10
156.00,1644.00,249.23,0.37,1.11
156.00,1644.00,249.23,0.37,1.12
144.00,1656.00,249.63,-0.73,1.10
132.00,1668.00,249.99,0.49,1.11
132.00,1668.00,249.99,-0.24,1.11
120.00,1680.00,250.32,0.91,1.13
120.00,1680.00,250.32,1.28,1.17
108.00,1692.00,250.62,-1.10,1.14
108.00,1692.00,250.62,-0.55,1.12
96.00,1704.00,250.89,0.43,1.13
96.00,1704.00,250.89,0.49,1.15
84.00,1716.00,251.12,0.00,1.15
72.00,1728.00,251.33,-0.12,1.14
72.00,1728.00,251.33,0.18,1.15
60.00,1740.00,251.50,-0.43,1.14
60.00,1740.00,251.50,-0.61,1.12
48.00,1752.00,251.65,4.21,1.24
48.00,1752.00,251.65,-2.38,1.17
36.00,1764.00,251.76,0.73,1.19
36.00,1764.00,251.76,-0.30,1.18
24.00,1776.00,251.84,-0.24,1.17
24.00,1776.00,251.84,0.37,1.19
12.00,1788.00,251.88,-0.43,1.17
0.00,1800.00,251.90,-0.67,1.15
0.00,1800.00,251.90,-0.18,1.15
12.00,1788.00,251.88,0.18,1.15
12.00,1788.00,251.88,-0.43,1.14
24.00,1776.00,251.84,0.06,1.14
24.00,1776.00,251.84,0.61,1.16
36.00,1764.00,251.76,-0.73,1.14
36.00,1764.00,251.76,0.49,1.15
48.00,1752.00,251.65,0.37,1.16
60.00,1740.00,251.50,-0.12,1.16
60.00,1740.00,251.50,-0.06,1.16
72.00,1728.00,251.33,-0.12,1.16
72.00,1728.00,251.33,0.67,1.17
84.00,1716.00,251.12,0.06,1.18
84.00,1716.00,251.12,0.55,1.19
96.00,1704.00,250.89,0.43,1.20
96.00,1704.00,250.89,-0.12,1.20
108.00,1692.00,250.62,0.61,1.22
120.00,1680.00,250.32,-0.37,1.21
120.00,1680.00,250.32,-1.10,1.18
132.00,1668.00,249.99,-0.43,1.16
132.00,1668.00,249.99,-0.06,1.16
144.00,1656.00,249.63,0.06,1.16
144.00,1656.00,249.63,0.55,1.18
156.00,1644.00,249.23,0.00,1.18
156.00,1644.00,249.23,-0.43,1.17
168.00,1632.00,248.81,-0.91,1.14
180.00,1620.00,248.36,0.00,1.14
180.00,1620.00,248.36,2.62,1.22
192.00,1608.00,247.87,2.68,1.29
192.00,1608.00,247.87,3.90,1.40
204.00,1596.00,247.36,4.33,1.52
204.00,1596.00,247.36,2.80,1.59
216.00,1584.00,246.82,1.34,1.63
216.00,1584.00,246.82,-1.22,1.60
228.00,1572.00,246.24,-6.95,1.41
228.00,1572.00,246.24,0.91,1.43
240.00,1560.00,245.64,1.10,1.46
252.00,1548.00,245.01,-0.06,1.46
252.00,1548.00,245.01,0.30,1.47
264.00,1536.00,244.35,0.06,1.47
264.00,1536.00,244.35,-0.55,1.45
276.00,1524.00,243.66,-1.04,1.43
276.00,1524.00,243.66,0.67,1.44
288.00,1512.00,242.94,-1.10,1.41
288.00,1512.00,242.94,-2.07,1.36
