time,x,y,z
22.848,-0.000680,-0.010082,0.031051
23.584,-0.000680,-0.010008,0.031194
23.616,-0.000680,-0.009939,0.031348
23.648,-0.000680,-0.009868,0.031501
23.680,-0.000680,-0.009796,0.031654
23.712,-0.000680,-0.009724,0.031807
23.744,-0.000680,-0.009650,0.031960
23.776,-0.000680,-0.009575,0.032113
23.808,-0.000680,-0.009499,0.032265
23.840,-0.000680,-0.009421,0.032417
23.872,-0.000680,-0.009343,0.032569
23.904,-0.000680,-0.009264,0.032721
23.936,-0.000680,-0.009184,0.032873
23.968,-0.000680,-0.009103,0.033025
24.000,-0.000680,-0.009021,0.033176
24.032,-0.000680,-0.008938,0.033327
24.064,-0.000680,-0.008853,0.033478
24.096,-0.000680,-0.008768,0.033629
24.128,-0.000680,-0.008682,0.033779
24.160,-0.000680,-0.008595,0.033930
24.192,-0.000680,-0.008507,0.034080
24.224,-0.000680,-0.008418,0.034230
24.256,-0.000680,-0.008328,0.034380
24.288,-0.000680,-0.008236,0.034530
24.320,-0.000680,-0.008144,0.034679
24.352,-0.000680,-0.008051,0.034828
24.384,-0.000680,-0.007957,0.034977
24.416,-0.000680,-0.007862,0.035126
24.448,-0.000680,-0.007766,0.035275
24.480,-0.000680,-0.007669,0.035423
24.512,-0.000680,-0.007572,0.035571
24.544,-0.000680,-0.007473,0.035719
24.576,-0.000680,-0.007373,0.035867
24.608,-0.000680,-0.007272,0.036015
24.640,-0.000680,-0.007170,0.036162
24.672,-0.000680,-0.007068,0.036309
24.704,-0.000680,-0.006964,0.036456
24.736,-0.000680,-0.006859,0.036603
24.768,-0.000680,-0.006754,0.036749
24.800,-0.000680,-0.006647,0.036895
24.832,-0.000680,-0.006540,0.037041
24.864,-0.000680,-0.006431,0.037187
24.896,-0.000680,-0.006322,0.037332
24.928,-0.000680,-0.006211,0.037478
24.960,-0.000680,-0.006100,0.037623
24.992,-0.000680,-0.005988,0.037767
25.024,-0.000680,-0.005875,0.037912
25.056,-0.000680,-0.005761,0.038058
25.088,-0.000680,-0.005646,0.038204
25.120,-0.000680,-0.005530,0.038349
25.152,-0.000680,-0.005413,0.038494
25.184,-0.000680,-0.005295,0.038639
25.216,-0.000680,-0.005176,0.038783
25.248,-0.000680,-0.005056,0.038927
25.280,-0.000680,-0.004936,0.039071
25.312,-0.000680,-0.004814,0.039215
25.344,-0.000680,-0.004692,0.039358
25.376,-0.000680,-0.004568,0.039502
25.408,-0.000680,-0.004444,0.039644
25.440,-0.000680,-0.004319,0.039787
25.472,-0.000680,-0.004192,0.039929
25.504,-0.000680,-0.004124,0.040044
25.568,-0.000680,-0.004045,0.040175
25.696,-0.000680,-0.003991,0.040263
27.072,-0.000680,-0.004101,0.040286
27.104,-0.000680,-0.004290,0.040284
27.136,-0.000680,-0.004506,0.040281
27.168,-0.000680,-0.004721,0.040277
27.200,-0.000680,-0.004935,0.040273
27.232,-0.000680,-0.005147,0.040267
27.264,-0.000680,-0.005359,0.040261
27.296,-0.000680,-0.005569,0.040254
27.328,-0.000680,-0.005777,0.040247
27.360,-0.000680,-0.005985,0.040240
27.392,-0.000680,-0.006191,0.040234
27.424,-0.000680,-0.006396,0.040227
27.456,-0.000680,-0.006600,0.040220
27.488,-0.000680,-0.006802,0.040211
27.520,-0.000680,-0.007003,0.040202
27.552,-0.000680,-0.007203,0.040191
27.584,-0.000680,-0.007401,0.040180
27.616,-0.000680,-0.007598,0.040169
27.648,-0.000680,-0.007794,0.040156
27.680,-0.000680,-0.007988,0.040143
27.712,-0.000680,-0.008180,0.040128
27.744,-0.000680,-0.008372,0.040113
27.776,-0.000680,-0.008562,0.040098
27.808,-0.000680,-0.008750,0.040081
27.840,-0.000680,-0.008937,0.040064
27.872,-0.000680,-0.009123,0.040045
27.904,-0.000680,-0.009307,0.040026
27.936,-0.000680,-0.009490,0.040007
27.968,-0.000680,-0.009671,0.039986
28.000,-0.000680,-0.009851,0.039965
28.032,-0.000680,-0.010029,0.039942
28.064,-0.000680,-0.010206,0.039920
28.096,-0.000680,-0.010382,0.039896
28.128,-0.000680,-0.010556,0.039871
28.160,-0.000680,-0.010728,0.039846
28.192,-0.000680,-0.010899,0.039820
28.224,-0.000680,-0.011068,0.039793
28.256,-0.000680,-0.011235,0.039765
28.288,-0.000680,-0.011401,0.039737
28.320,-0.000680,-0.011644,0.039708
28.352,-0.000675,-0.011793,0.039676
28.384,-0.000669,-0.011943,0.039645
28.416,-0.000663,-0.012095,0.039612
28.448,-0.000658,-0.012247,0.039579
28.480,-0.000652,-0.012398,0.039545
28.512,-0.000647,-0.012549,0.039511
28.544,-0.000643,-0.012700,0.039476
28.576,-0.000639,-0.012849,0.039440
28.608,-0.000635,-0.012997,0.039403
28.640,-0.000632,-0.013144,0.039366
28.672,-0.000630,-0.013289,0.039328
28.704,-0.000628,-0.013433,0.039290
28.736,-0.000626,-0.013575,0.039251
28.768,-0.000624,-0.013715,0.039211
28.800,-0.000623,-0.013854,0.039173
28.832,-0.000622,-0.013992,0.039135
28.864,-0.000621,-0.014127,0.039096
28.896,-0.000620,-0.014261,0.039056
28.928,-0.000620,-0.014393,0.039015
28.960,-0.000620,-0.014524,0.038974
28.992,-0.000642,-0.014625,0.038939
29.056,-0.000669,-0.014727,0.038898
29.248,-0.000680,-0.014823,0.038870
30.688,-0.000680,-0.014711,0.038910
30.720,-0.000680,-0.014583,0.038953
30.752,-0.000680,-0.014454,0.038995
30.784,-0.000680,-0.014324,0.039036
30.816,-0.000680,-0.014191,0.039076
30.848,-0.000680,-0.014057,0.039116
30.880,-0.000680,-0.013921,0.039155
30.912,-0.000680,-0.013783,0.039193
30.944,-0.000680,-0.013643,0.039231
30.976,-0.000680,-0.013502,0.039269
31.008,-0.000680,-0.013359,0.039309
31.040,-0.000680,-0.013215,0.039347
31.072,-0.000680,-0.013068,0.039385
31.104,-0.000680,-0.012920,0.039421
31.136,-0.000680,-0.012770,0.039458
31.168,-0.000680,-0.012619,0.039493
31.200,-0.000680,-0.012466,0.039527
31.232,-0.000680,-0.012311,0.039561
31.264,-0.000680,-0.012155,0.039594
31.296,-0.000680,-0.011997,0.039627
31.328,-0.000680,-0.011837,0.039658
31.360,-0.000680,-0.011676,0.039689
31.392,-0.000680,-0.011513,0.039719
31.424,-0.000680,-0.011348,0.039748
31.456,-0.000680,-0.011182,0.039776
31.488,-0.000680,-0.011014,0.039804
31.520,-0.000680,-0.010845,0.039831
31.552,-0.000680,-0.010674,0.039857
31.584,-0.000680,-0.010502,0.039882
31.616,-0.000680,-0.010328,0.039907
31.648,-0.000680,-0.010152,0.039931
31.680,-0.000680,-0.009976,0.039954
31.712,-0.000680,-0.009798,0.039976
31.744,-0.000680,-0.009618,0.039997
31.776,-0.000680,-0.009437,0.040018
31.808,-0.000680,-0.009254,0.040038
31.840,-0.000680,-0.009070,0.040057
31.872,-0.000680,-0.008884,0.040075
31.904,-0.000680,-0.008697,0.040093
31.936,-0.000680,-0.008508,0.040109
31.968,-0.000680,-0.008318,0.040125
32.000,-0.000680,-0.008127,0.040140
32.032,-0.000680,-0.007934,0.040155
32.064,-0.000680,-0.007739,0.040168
32.096,-0.000680,-0.007543,0.040181
32.128,-0.000680,-0.007346,0.040193
32.160,-0.000680,-0.007148,0.040204
32.192,-0.000680,-0.006948,0.040215
32.224,-0.000680,-0.006747,0.040224
32.256,-0.000680,-0.006544,0.040233
32.288,-0.000680,-0.006341,0.040241
32.320,-0.000680,-0.006136,0.040248
32.352,-0.000680,-0.005929,0.040255
32.384,-0.000680,-0.005722,0.040261
32.416,-0.000680,-0.005513,0.040268
32.448,-0.000680,-0.005302,0.040276
32.480,-0.000680,-0.005091,0.040282
32.512,-0.000680,-0.004878,0.040287
32.544,-0.000680,-0.004664,0.040292
32.576,-0.000680,-0.004449,0.040296
32.608,-0.000680,-0.004339,0.040294
32.672,-0.000680,-0.004215,0.040291
32.896,-0.000680,-0.004114,0.040288
36.704,-0.000680,-0.004233,0.040286
36.736,-0.000680,-0.004419,0.040285
36.768,-0.000680,-0.004636,0.040281
36.800,-0.000680,-0.004851,0.040278
36.832,-0.000680,-0.005065,0.040273
36.864,-0.000680,-0.005277,0.040268
36.896,-0.000680,-0.005489,0.040261
36.928,-0.000680,-0.005699,0.040255
36.960,-0.000680,-0.005907,0.040247
36.992,-0.000680,-0.006115,0.040240
37.024,-0.000680,-0.006321,0.040234
37.056,-0.000680,-0.006526,0.040227
37.088,-0.000680,-0.006730,0.040220
37.120,-0.000680,-0.006932,0.040211
37.152,-0.000680,-0.007133,0.040202
37.184,-0.000680,-0.007333,0.040192
37.216,-0.000680,-0.007531,0.040181
37.248,-0.000680,-0.007728,0.040169
37.280,-0.000680,-0.007923,0.040156
37.312,-0.000680,-0.008118,0.040143
37.344,-0.000680,-0.008310,0.040128
37.376,-0.000680,-0.008502,0.040113
37.408,-0.000680,-0.008692,0.040098
37.440,-0.000680,-0.008880,0.040081
37.472,-0.000680,-0.009067,0.040064
37.504,-0.000680,-0.009253,0.040045
37.536,-0.000680,-0.009437,0.040026
37.568,-0.000680,-0.009620,0.040007
37.600,-0.000680,-0.009801,0.039986
37.632,-0.000680,-0.009981,0.039965
37.664,-0.000680,-0.010159,0.039942
37.696,-0.000680,-0.010336,0.039920
37.728,-0.000680,-0.010512,0.039896
37.760,-0.000680,-0.010686,0.039871
37.792,-0.000680,-0.010858,0.039846
37.824,-0.000680,-0.011029,0.039820
37.856,-0.000680,-0.011198,0.039793
37.888,-0.000680,-0.011365,0.039765
37.920,-0.000680,-0.011531,0.039737
37.952,-0.000680,-0.011696,0.039708
37.984,-0.000680,-0.011858,0.039678
38.016,-0.000680,-0.012019,0.039647
38.048,-0.000680,-0.012179,0.039616
38.080,-0.000680,-0.012336,0.039584
38.112,-0.000680,-0.012493,0.039551
38.144,-0.000680,-0.012647,0.039517
38.176,-0.000680,-0.012800,0.039482
38.208,-0.000680,-0.012951,0.039447
38.240,-0.000680,-0.013100,0.039411
38.272,-0.000680,-0.013248,0.039374
38.304,-0.000680,-0.013394,0.039337
38.336,-0.000680,-0.013538,0.039299
38.368,-0.000680,-0.013681,0.039260
38.400,-0.000680,-0.013822,0.039220
38.432,-0.000680,-0.013961,0.039183
38.464,-0.000680,-0.014099,0.039145
38.496,-0.000680,-0.014234,0.039106
38.528,-0.000680,-0.014368,0.039066
38.560,-0.000680,-0.014501,0.039026
38.592,-0.000680,-0.014631,0.038985
38.624,-0.000680,-0.014730,0.038948
38.688,-0.000680,-0.014841,0.038905
