H2,L_spine,beta,xA,yA,xP,yP,tA_x,tA_y,nA_x,nA_y,tP_x,tP_y,nP_x,nP_y
0,10,0.15707963267948966,1.6939213328496243,3.623621188551164,11.570804738801003,2.0592765381488554,-0.9059052971377911,0.42348033321240613,0.42348033321240613,0.9059052971377911,-0.5148191345372141,-0.8572988152997495,-0.8572988152997495,0.5148191345372141
0,10,0.3141592653589793,1.535221331622609,3.6936561105401924,11.045786494574143,0.6034861667907183,-0.9234140276350482,0.38380533290565233,0.3838053329056523,0.9234140276350481,-0.1508715416976796,-0.9885533763564643,-0.9885533763564643,0.1508715416976796
0,10,0.47123889803846897,,,,,,,,,,,,
0,10,0.6283185307179586,,,,,,,,,,,,
0,10,0.7853981633974483,,,,,,,,,,,,
0,11,-0.7853981633974483,,,,,,,,,,,,
0,11,-0.6283185307179586,,,,,,,,,,,,
0,11,-0.47123889803846897,,,,,,,,,,,,
0,11,-0.3141592653589793,3.9607630237154,0.5588884235416248,14.422384702962088,3.9580753616660465,-0.1397221058854062,0.99019075592885,0.99019075592885,0.1397221058854062,-0.9895188404165116,-0.14440382425947806,-0.14440382425947806,0.9895188404165116
0,11,-0.15707963267948966,3.3409673871896732,2.1995310676903403,14.205539133736188,3.92031018313288,-0.5498827669225851,0.8352418467974183,0.8352418467974183,0.5498827669225851,-0.98007754578322,-0.19861521656595293,-0.19861521656595293,0.98007754578322
0,11,0.0,2.0,3.4641016151377544,13.0,3.4641016151377544,-0.8660254037844387,0.5000000000000001,0.5000000000000001,0.8660254037844387,-0.8660254037844387,-0.5000000000000001,-0.5000000000000001,0.8660254037844387
0,11,0.15707963267948966,0.7944608662638112,3.92031018313288,11.659032612810327,2.199531067690341,-0.98007754578322,0.1986152165659528,0.1986152165659528,0.98007754578322,-0.5498827669225852,-0.8352418467974183,-0.8352418467974183,0.5498827669225852
0,11,0.3141592653589793,0.5776152970379136,3.9580753616660465,11.039236976284602,0.5588884235416249,-0.9895188404165116,0.1444038242594784,0.1444038242594784,0.9895188404165116,-0.13972210588540632,-0.99019075592885,-0.99019075592885,0.13972210588540632
0,11,0.47123889803846897,,,,,,,,,,,,
0,11,0.6283185307179586,,,,,,,,,,,,
0,11,0.7853981633974483,,,,,,,,,,,,
0,12,-0.7853981633974483,,,,,,,,,,,,
0,12,-0.6283185307179586,,,,,,,,,,,,
0,12,-0.47123889803846897,,,,,,,,,,,,
0,12,-0.3141592653589793,3.9907823721637525,0.2713964959741584,15.403460567705594,3.979600428473527,-0.0678491239935396,0.9976955930409381,0.9976955930409381,0.0678491239935396,-0.9949001071183817,0.1008651419263984,0.10086514192639841,0.9949001071183818
0,12,-0.15707963267948966,3.3950261712590337,2.1151352903458034,15.247286258400687,3.992348870828574,-0.5287838225864508,0.8487565428147584,0.8487565428147585,0.528783822586451,-0.9980872177071435,0.06182156460017163,0.06182156460017163,0.9980872177071435
0,12,0.0,1.5,3.7080992435478315,13.5,3.7080992435478315,-0.9270248108869579,0.375,0.375,0.9270248108869579,-0.9270248108869579,-0.375,-0.375,0.9270248108869579
0,12,0.15707963267948966,-0.24728625840068763,3.992348870828574,11.604973828740965,2.1151352903458034,-0.9980872177071435,-0.06182156460017191,-0.06182156460017191,0.9980872177071435,-0.5287838225864507,-0.8487565428147585,-0.8487565428147585,0.5287838225864507
0,12,0.3141592653589793,,,,,,,,,,,,
0,12,0.47123889803846897,,,,,,,,,,,,
0,12,0.6283185307179586,,,,,,,,,,,,
0,12,0.7853981633974483,,,,,,,,,,,,
0,13,-0.7853981633974483,,,,,,,,,,,,
0,13,-0.6283185307179586,,,,,,,,,,,,
0,13,-0.47123889803846897,,,,,,,,,,,,
0,13,-0.3141592653589793,,,,,,,,,,,,
0,13,-0.15707963267948966,3.626444047543175,1.687869535846499,16.466392475279967,3.7215175813695005,-0.42196738396162475,0.9066110118857937,0.9066110118857937,0.42196738396162475,-0.9303793953423749,0.36659811881999177,0.36659811881999177,0.9303793953423749
0,13,0.0,1.0,3.872983346207417,14.0,3.872983346207417,-0.9682458365518543,0.25,0.25,0.9682458365518543,-0.9682458365518543,-0.25,-0.25,0.9682458365518543
