time,x,y,z,shaft_length
51.328,-0.000680,-0.005990,0.037767,0.0000
51.360,-0.000680,-0.005877,0.037912,0.0000
51.392,-0.000680,-0.005763,0.038058,0.0000
51.424,-0.000680,-0.005647,0.038204,0.0000
51.456,-0.000680,-0.005531,0.038349,0.0000
51.488,-0.000680,-0.005415,0.038494,0.0000
51.520,-0.000680,-0.005297,0.038639,0.0000
51.552,-0.000680,-0.005178,0.038783,0.0000
51.584,-0.000680,-0.005058,0.038927,0.0000
51.616,-0.000680,-0.004938,0.039071,0.0000
51.648,-0.000680,-0.004816,0.039215,0.0000
51.680,-0.000680,-0.004694,0.039358,0.0000
51.712,-0.000680,-0.004570,0.039502,0.0000
51.744,-0.000680,-0.004446,0.039644,0.0000
51.776,-0.000680,-0.004321,0.039787,0.0000
51.808,-0.000680,-0.004194,0.039929,0.0000
51.840,-0.000680,-0.004126,0.040044,0.0000
51.904,-0.000680,-0.004047,0.040175,0.0000
52.032,-0.000680,-0.003993,0.040263,0.0000
59.904,-0.000680,-0.004102,0.040286,0.0000
59.936,-0.000680,-0.004289,0.040285,0.0000
59.968,-0.000680,-0.004505,0.040281,0.0000
60.000,-0.000680,-0.004720,0.040278,0.0000
60.032,-0.000680,-0.004934,0.040273,0.0000
60.064,-0.000680,-0.005146,0.040268,0.0000
60.096,-0.000680,-0.005358,0.040261,0.0000
60.128,-0.000680,-0.005568,0.040255,0.0000
60.160,-0.000680,-0.005777,0.040247,0.0000
60.192,-0.000680,-0.005984,0.040240,0.0000
60.224,-0.000680,-0.006190,0.040234,0.0000
60.256,-0.000680,-0.006395,0.040227,0.0000
60.288,-0.000680,-0.006599,0.040220,0.0000
60.320,-0.000680,-0.006801,0.040211,0.0000
60.352,-0.000680,-0.007002,0.040202,0.0000
60.384,-0.000680,-0.007202,0.040192,0.0000
60.416,-0.000680,-0.007400,0.040181,0.0000
60.448,-0.000680,-0.007597,0.040169,0.0000
60.480,-0.000680,-0.007793,0.040156,0.0000
60.512,-0.000680,-0.007987,0.040143,0.0000
60.544,-0.000680,-0.008180,0.040128,0.0000
60.576,-0.000680,-0.008371,0.040113,0.0000
60.608,-0.000680,-0.008561,0.040098,0.0000
60.640,-0.000680,-0.008750,0.040081,0.0000
60.672,-0.000680,-0.008937,0.040064,0.0000
60.704,-0.000680,-0.009122,0.040045,0.0000
60.736,-0.000680,-0.009306,0.040026,0.0000
60.768,-0.000680,-0.009489,0.040007,0.0000
60.800,-0.000680,-0.009670,0.039986,0.0000
60.832,-0.000680,-0.009850,0.039965,0.0000
60.864,-0.000680,-0.010028,0.039942,0.0000
60.896,-0.000680,-0.010205,0.039920,0.0000
60.928,-0.000680,-0.010381,0.039896,0.0000
60.960,-0.000680,-0.010555,0.039871,0.0000
60.992,-0.000680,-0.010727,0.039846,0.0000
61.024,-0.000680,-0.010898,0.039820,0.0000
61.056,-0.000680,-0.011067,0.039793,0.0000
61.088,-0.000680,-0.011235,0.039765,0.0000
61.120,-0.000680,-0.011401,0.039737,0.0000
61.152,-0.000680,-0.011565,0.039708,0.0000
61.184,-0.000680,-0.011727,0.039678,0.0000
61.216,-0.000680,-0.011889,0.039647,0.0000
61.248,-0.000680,-0.012048,0.039616,0.0000
61.280,-0.000680,-0.012206,0.039584,0.0000
61.312,-0.000680,-0.012362,0.039551,0.0000
61.344,-0.000680,-0.012516,0.039517,0.0000
61.376,-0.000680,-0.012669,0.039482,0.0000
61.408,-0.000680,-0.012820,0.039447,0.0000
61.440,-0.000680,-0.012970,0.039411,0.0000
61.472,-0.000680,-0.013117,0.039374,0.0000
61.504,-0.000680,-0.013263,0.039337,0.0000
61.536,-0.000680,-0.013408,0.039299,0.0000
61.568,-0.000680,-0.013550,0.039260,0.0000
61.600,-0.000680,-0.013691,0.039220,0.0000
61.632,-0.000680,-0.013830,0.039183,0.0000
61.664,-0.000680,-0.013968,0.039145,0.0000
61.696,-0.000680,-0.014104,0.039106,0.0000
61.728,-0.000680,-0.014238,0.039066,0.0000
61.760,-0.000680,-0.014370,0.039026,0.0000
61.792,-0.000680,-0.014500,0.038985,0.0000
61.824,-0.000680,-0.014600,0.038948,0.0000
61.888,-0.000680,-0.014711,0.038905,0.0000
69.920,-0.000680,-0.014550,0.038954,0.0000
69.952,-0.000680,-0.014421,0.038995,0.0000
69.984,-0.000680,-0.014291,0.039036,0.0000
70.016,-0.000680,-0.014158,0.039077,0.0000
70.048,-0.000680,-0.014024,0.039116,0.0000
70.080,-0.000680,-0.013888,0.039155,0.0000
70.112,-0.000680,-0.013750,0.039193,0.0000
70.144,-0.000680,-0.013610,0.039231,0.0000
70.176,-0.000680,-0.013469,0.039269,0.0000
70.208,-0.000680,-0.013326,0.039309,0.0000
70.240,-0.000680,-0.013182,0.039347,0.0000
70.272,-0.000680,-0.013035,0.039385,0.0000
70.304,-0.000680,-0.012887,0.039421,0.0000
70.336,-0.000680,-0.012737,0.039458,0.0000
70.368,-0.000680,-0.012586,0.039493,0.0000
70.400,-0.000680,-0.012433,0.039527,0.0000
70.432,-0.000680,-0.012278,0.039561,0.0000
70.464,-0.000680,-0.012122,0.039594,0.0000
70.496,-0.000680,-0.011964,0.039627,0.0000
70.528,-0.000680,-0.011804,0.039658,0.0000
70.560,-0.000680,-0.011643,0.039689,0.0000
70.592,-0.000680,-0.011480,0.039719,0.0000
70.624,-0.000680,-0.011315,0.039748,0.0000
70.656,-0.000680,-0.011149,0.039776,0.0000
70.688,-0.000680,-0.010981,0.039804,0.0000
70.720,-0.000680,-0.010812,0.039831,0.0000
70.752,-0.000680,-0.010641,0.039857,0.0000
70.784,-0.000680,-0.010469,0.039882,0.0000
70.816,-0.000680,-0.010295,0.039907,0.0000
70.848,-0.000680,-0.010119,0.039931,0.0000
